index,date_dblhead,team_h,team_v,home_hitting,runs,OBP_162,SLG_162,Strt_WHIP_35,Strt_SO_perc_10,Bpen_WHIP_75,Bpen_SO_perc_75,Bpen_WHIP_35
0,201504050,CHN,SLN,1,0,0.2952941176470588,0.3845315904139433,1.0323886639676114,0.1818181818181818,1.2782608695652171,0.2149732620320855,1.1545454545454543
1,201504060,DET,MIN,1,4,0.3293265272517701,0.4261101243339254,1.1559633027522938,0.2377622377622377,1.4561891515994436,0.1719056974459725,1.5784615384615384
2,201504060,HOU,CLE,1,2,0.3049478290138001,0.3825959243620341,1.116182572614108,0.3205574912891986,1.1741007194244604,0.2502685284640172,1.4117647058823528
3,201504060,KCA,CHA,1,10,0.309873417721519,0.3760144274120829,1.083453237410072,0.2593984962406015,1.6045380875202593,0.1921348314606741,1.6027397260273974
4,201504060,NYA,TOR,1,1,0.3027399562951756,0.3800254684373294,1.248322147651007,0.2874015748031496,1.2551928783382789,0.2219804134929271,1.232142857142857
5,201504060,OAK,TEX,1,8,0.3164247267982384,0.3807033363390442,1.291798107255521,0.16015625,1.2918454935622317,0.1964472309299895,1.3444816053511706
6,201504060,SEA,ANA,1,4,0.294902497434143,0.3755963302752294,1.1981845688350985,0.1947565543071161,1.1354166666666667,0.2432432432432432,1.2888349514563109
7,201504060,TBA,BAL,1,2,0.3124276021843455,0.366751269035533,1.2433281004709575,0.2165354330708661,1.0353982300884956,0.2468714448236632,1.0846905537459282
8,201504060,ARI,SFN,1,4,0.2986554621848739,0.3757204610951009,1.08972503617945,0.2804428044280442,1.0442748091603051,0.2280285035629453,1.1844660194174756
9,201504060,CIN,PIT,1,5,0.2920826161790017,0.364967562557924,1.280672268907563,0.2559055118110236,1.1990369181380418,0.2323856613102596,1.0212765957446808
10,201504060,LAN,SDN,1,6,0.3281789768053956,0.4057553956834532,1.1666666666666667,0.1906474820143885,1.2331288343558282,0.2561117578579744,1.3353658536585364
11,201504060,MIA,ATL,1,1,0.3146216260970359,0.3775731310942578,1.0732758620689655,0.1744186046511628,1.3039215686274508,0.2219482120838471,1.2827586206896553
12,201504060,MIL,COL,1,0,0.3039932030586236,0.3971072867081655,1.3792569659442724,0.1330798479087452,1.537292817679558,0.2126829268292683,1.3545454545454545
13,201504060,PHI,BOS,1,0,0.2975521005623552,0.3633767624486882,1.3098591549295775,0.2087912087912088,1.280281690140845,0.205020920502092,1.2795389048991357
14,201504060,WAS,NYN,1,1,0.3168839742531771,0.3929989173583544,1.191240875912409,0.1737451737451737,1.2699999999999998,0.2447204968944099,1.2604166666666663
15,201504070,OAK,TEX,1,1,0.3170930422030308,0.3831742028463339,1.4095238095238096,0.1713286713286713,1.297872340425532,0.1981424148606811,1.386138613861386
16,201504070,SEA,ANA,1,0,0.2940874035989717,0.3751377157546823,1.4019607843137254,0.1594827586206896,1.1448763250883391,0.2453498671390611,1.3002421307506054
17,201504070,TBA,BAL,1,5,0.3113613779397151,0.3665699782451051,1.2829581993569132,0.1803921568627451,1.019548872180451,0.2459396751740139,1.116504854368932
18,201504070,ARI,SFN,1,7,0.2993951612903225,0.3767332973167657,1.2793388429752066,0.1859504132231405,1.0493066255778118,0.2281959378733572,1.2138157894736843
19,201504070,LAN,SDN,1,3,0.3290577207696102,0.4077338129496403,1.200920245398773,0.250996015936255,1.2515337423312882,0.2572421784472769,1.366153846153846
20,201504070,MIA,ATL,1,2,0.3137222406363937,0.3754969280809541,1.141747572815534,0.2537313432835821,1.2829268292682925,0.2222222222222222,1.2724137931034485
21,201504070,MIL,COL,1,2,0.303616912888436,0.3965611852935796,1.4760213143872114,0.1607843137254902,1.5188284518828452,0.2148514851485148,1.2616822429906542
22,201504080,DET,MIN,1,11,0.3295997364519848,0.4267187777580387,1.4252491694352158,0.1726907630522088,1.4626038781163433,0.1692759295499021,1.598746081504702
23,201504080,HOU,CLE,1,0,0.3044650379106992,0.380584666298952,0.8882175226586103,0.2977099236641221,1.1804733727810648,0.2497237569060773,1.4361702127659572
24,201504080,KCA,CHA,1,7,0.3111711103611205,0.3782467532467532,1.2371601208459215,0.2180451127819548,1.6341059602649006,0.1940639269406392,1.662020905923345
25,201504080,NYA,TOR,1,4,0.3023881601076353,0.3800509646887514,1.2152466367713004,0.1685823754789272,1.2402985074626864,0.2228320526893523,1.1805054151624548
26,201504080,OAK,TEX,1,10,0.3159869494290375,0.3817165524702488,1.4047619047619049,0.2,1.2955523672883786,0.2012513034410844,1.42
27,201504080,SEA,ANA,1,3,0.292825266048747,0.3724949439235153,1.0638297872340423,0.2061403508771929,1.139644970414201,0.2466607301869991,1.2982885085574571
28,201504080,TBA,BAL,1,2,0.3110301424312686,0.3669325598259608,1.24190800681431,0.1468253968253968,1.0119940029985006,0.2491309385863267,1.107255520504732
29,201504080,ARI,SFN,1,2,0.2992430613961312,0.3780861416471436,1.5095238095238095,0.1933333333333333,1.0506912442396312,0.2288438617401668,1.268456375838926
30,201504080,CHN,SLN,1,2,0.2948890383322125,0.384713144517066,1.2453703703703705,0.2022471910112359,1.2688953488372094,0.2182795698924731,1.1682242990654206
31,201504080,CIN,PIT,1,5,0.292283844299001,0.3665863155942889,1.179878048780488,0.2804878048780488,1.2086677367576244,0.2330456226880394,1.0108695652173914
32,201504080,LAN,SDN,1,7,0.3277366255144033,0.4075206908960057,1.111764705882353,0.1749049429657794,1.2458015267175573,0.2575057736720554,1.361111111111111
33,201504080,MIA,ATL,1,0,0.3140208574739281,0.375293480223948,1.27,0.1893004115226337,1.2564935064935063,0.228287841191067,1.2768166089965398
